course_code,section_no,room
ARCH301,C,AF_AB4.B314
ARCH301,D,AF_AB4.B314
ARCH301,E,AF_AB4.B314
ARCH301,F,AF_AB4.B314
ARCH302,A,AF_AB4.227
ARCH303,A,AF_AB4.B313B
ARCH303,C,AF_AB4.B314
ARCH305,A,LF_AB3.237;AF_AB4.227
ARCH305,B,LF_AB3.237;AF_AB4.227
ARCH305,C,LF_AB3.237;AF_AB4.227
ARCH401,A,AF_AB4.227
ARCH401,B,AF_AB4.227
ARCH401,C,AF_AB4.227
ARCH401,D,AF_AB4.227
ARCH401,E,AF_AB4.227
ARCH402,A,
ARCH402,B,
ARCH403,A,AF_AB4.B228
ARCH403,B,FEAS_AB2.112
ARCH403,C,AF_AB4.B313B
ARCH420,A,
ARCH434,A,AF_AB4.B228
ARCH438,A,AF_AB4.B313A
ARCH439,A,FEAS_AB2.116
ARCH445,A,FEAS_AB2.102
ARCH446,A,AF_AB4.B228
ARCH451,A,AF_AB4.B313A
ARCH460,A,AF_AB4.B126
ARCH467,A,AF_AB4.B126
ARCH468,A,AF_AB4.B318
ARCH469,A,AF_AB4.B127
ARCH470,A,AF_AB4.B313B
ARCH472,A,AF_AB4.B318
ARCH476,A,
COD101,A,AF_AB4.B318
COD102,A,AF_AB4.123;AF_AB4.124
COD103,A,AF_AB4.B317
COD103,B,AF_AB4.B317
COD200,A,
COD201,A,AF_AB4.123
COD201,B,AF_AB4.123
COD202,A,AF_AB4.123
COD203,A,AF_AB4.B318
COD203,B,AF_AB4.B127
COD205,A,AF_AB4.123
COD206,A,AF_AB4.B127
COD207,A,AF_AB4.B317
COD207,B,AF_AB4.B317
COD209,A,AF_AB4.B317
COD209,B,AF_AB4.B317
COD300,A,
COD301,A,AF_AB4.B226
COD302,A,AF_AB4.B226
COD305,A,AF_AB4.B228
COD314,A,AF_AB4.B226
COD321,A,AF_AB4.B230
COD322,A,AF_AB4.B230
COD323,A,AF_AB4.B226
COD400,A,
COD401,A,AF_AB4.124
COD402,A,AF_AB4.124
COD404,A,FEAS_AB2.G11
COD414,A,AF_AB4.124
COD416,A,AF_AB4.B127
COD419,A,AF_AB4.B230
COD424,A,AF_AB4.B230
IDE100,A,
IDE101,A,AF_AB4.123
IDE101,B,AF_AB4.123
IDE101,C,AF_AB4.123;AF_AB4.124
IDE101,D,AF_AB4.123
IDE102,A,AF_AB4.123
IDE103,A,AF_AB4.123
IDE103,B,AF_AB4.123
IDE103,C,AF_AB4.123
IDE103,D,AF_AB4.123
IDE105,A,AF_AB4.B127
IDE106,A,AF_AB4.B611;AF_AB4.B612
IDE107,A,AF_AB4.B228
IDE110,A,FEAS_AB2.G01
IDE200,A,
IDE201,A,AF_AB4.123
IDE201,B,AF_AB4.123
IDE202,A,AF_AB4.123
IDE203,A,FEAS_AB2.B43B
IDE205,A,AF_AB4.124
IDE207,A,AF_AB4.B126
IDE209,A,FEAS_AB2.G12
IDE300,A,
IDE301,A,AF_AB4.123
IDE301,B,AF_AB4.123
IDE302,A,AF_AB4.123
IDE305,A,AF_AB4.B230
IDE311,A,LF_AB3.332
IDE311,B,FEAS_AB2.B44
IDE313,A,AF_AB4.B313A
IDE317,A,AF_AB4.B126
IDE332,A,FEAS_AB2.G13
IDE354,A,AF_AB4.B318
IDE401,A,AF_AB4.123
IDE402,A,AF_AB4.123
IDE403,A,AF_AB4.124
IDE424,A,AF_AB4.B228
IDE437,A,AF_AB4.123
IDE438,A,AF_AB4.123
IDE451,A,AF_AB4.B313A
INAR105,A,AF_AB4.B226
INAR200,A,
INAR201,A,AF_AB4.B125
INAR202,A,AF_AB4.B125
INAR206,A,AF_AB4.B228
INAR209,A,AF_AB4.B126
INAR300,A,
INAR301,A,AF_AB4.B125
INAR301,B,AF_AB4.B125
INAR302,A,AF_AB4.B125
INAR303,A,AF_AB4.B233
INAR303,B,FEAS_AB2.B42
INAR313,A,AF_AB4.B233
INAR315,A,AF_AB4.B228
INAR316,A,AF_AB4.B127
INAR319,A,FEAS_AB2.G12
INAR400,A,
INAR401,A,AF_AB4.B125
INAR401,B,AF_AB4.B125
INAR401,C,AF_AB4.B125
INAR402,A,AF_AB4.B125
INAR403,A,AF_AB4.B126
INAR405,A,AF_AB4.B226
INAR412,A,AF_AB4.B127
INAR422,A,AF_AB4.B125
MİM105,A,FEAS_AB2.G30
MİM107,A,AF_AB4.B233
MİM108,A,FEAS_AB2.113
MİM110,A,AF_AB4.B318
MİM201,A,AF_AB4.B125
MİM202,A,AF_AB4.B314
MİM205,A,FEAS_AB2.G11;FEAS_AB2.G10
MİM207,A,FEAS_AB2.B43B
MİM209,A,FEAS_AB2.G10
MİM212,A,AF_AB4.B313A
MİM301,A,AF_AB4.B314
MİM301,B,AF_AB4.B314
MİM301,C,AF_AB4.B314
MİM302,A,AF_AB4.227
MİM303,A,
MİM303,B,
MİM303,C,
MİM305,A,SCOLA.126;AF_AB4.227
MİM315,A,AF_AB4.B126
MİM317,A,FEAS_AB2.102
MİM318,A,
MİM322,A,AF_AB4.B127
MİM401,A,AF_AB4.227
MİM401,B,AF_AB4.227
MİM401,C,AF_AB4.227
MİM402,A,
MİM403,A,FEAS_AB2.G03
MİM431,A,FEAS_AB2.B42
MİM434,A,
MİM436,A,
MİM442,A,
MİM463,A,
ARCH110,B,AF_AB4.B230
ARCH201,B,AF_AB4.B314
ARCH303,B,AF_AB4.B230
INAR201,B,AF_AB4.B125
MİM305,B,SCOLA.126;AF_AB4.227
MİM325,A,FEAS_AB2.103
MİM420,A,
AI111,A,EF_AB1.407;EF_AB1.245
AI201,A,EF_AB1.245
AI300,A,
AI301,A,EF_AB1.232
AI303,A,EF_AB1.408
AI400,A,
AI425,A,EF_AB1.510
AIC390,A,EF_AB1.246
CE102,A,EF_AB1.509
CE112,A,EF_AB1.245
CE210,A,EF_AB1.245;EF_AB1.408
CE300,A,
CE301,A,EF_AB1.509
CE302L,A,EF_AB1.B14A
CE302L,C,EF_AB1.B14A
CE302L,D,EF_AB1.B14A
CE302L,E,EF_AB1.B14A
CE302L,F,EF_AB1.B14A
CE302L,G,EF_AB1.B14A
CE307,A,EF_AB1.511
CE400,A,
CE406,A,EF_AB1.231
CE411,A,EF_AB1.413
CE441,A,
CE489,A,EF_AB1.413
CEC397,A,EF_AB1.413
CHEM111,A,EF_AB1.225
CHEM111,B,EF_AB1.225
CHEM111L,A,EF_AB1.401
CHEM111L,C,EF_AB1.401
CHEM111L,D,EF_AB1.401
CHEM111L,E,EF_AB1.401
CHEM111L,F,EF_AB1.401
CHEM111L,G,EF_AB1.401
CHEM111L,H,EF_AB1.401
CS101,B,EF_AB1.233
CS101L,A,LF_AB3.342
CS101L,B,EF_AB1.239
CS101L,C,EF_AB1.418
CS102,A,EF_AB1.245
CS104,A,EF_AB1.410;EF_AB1.238
CS104L,B,EF_AB1.241
CS104L,C,EF_AB1.246
CS105,A,EF_AB1.509
CS112,A,EF_AB1.238
CS201,A,EF_AB1.407
CS201,B,EF_AB1.408
CS201L,A,EF_AB1.418
CS201L,B,EF_AB1.239
CS201L,C,LF_AB3.342
CS202,A,EF_AB1.246
CS240,A,SCOLA.326
CS240L,A,EF_AB1.407
CS240L,B,EF_AB1.407
CS300,A,
CS321,A,EF_AB1.238
CS350,A,EF_AB1.233
CS400,A,
CS401,A,
CS402,A,
CS413,A,EF_AB1.414
CS447,A,
CS466,A,EF_AB1.412
CS468,A,
CSC393,A,EF_AB1.408
CSC399,A,EF_AB1.231
EE101,A,EF_AB1.245
EE201,A,EF_AB1.231
EE202,A,EF_AB1.414
EE202L,A,EF_AB1.517
EE203,A,EF_AB1.237
EE203L,A,EF_AB1.517
EE203L,B,EF_AB1.517
EE203L,C,EF_AB1.517
EE204,A,LF_AB3.330;EF_AB1.408
EE300,A,
EE301,A,EF_AB1.509
EE301L,A,EF_AB1.517
EE301L,B,EF_AB1.517
EE301L,C,EF_AB1.517
EE303,A,EF_AB1.511
EE311,A,EF_AB1.413
EE321,A,EF_AB1.412
EE321L,A,EF_AB1.517
EE341,A,EF_AB1.510
EE341L,A,EF_AB1.240
EE341L,B,EF_AB1.240
EE341L,C,EF_AB1.240
EE400,A,
EE401,A,
EE402,A,
EE423,A,EF_AB1.414
EE444,A,EF_AB1.412
EE450,A,FEAS_AB2.101
EE462L,A,EF_AB1.413
EE493,A,EF_AB1.414
EE497,A,EF_AB1.413
EEC394,A,EF_AB1.414
EEC398,A,EF_AB1.412
FE301,A,EF_AB1.410
IE201,A,EF_AB1.231
IE201R,A,EF_AB1.509
IE203,A,EF_AB1.509
IE203R,A,EF_AB1.409
IE246,A,EF_AB1.241
IE246R,A,EF_AB1.233
IE300,A,
IE301,A,EF_AB1.233
IE301R,A,EF_AB1.510
IE302,A,EF_AB1.225
IE302R,A,EF_AB1.510
IE325,A,EF_AB1.233
IE325R,A,EF_AB1.409
IE342,A,EF_AB1.245
IE342R,A,EF_AB1.510
IE343,A,EF_AB1.233
IE352,A,EF_AB1.510
IE354,A,EF_AB1.509
IE362,A,EF_AB1.232
IE363,A,EF_AB1.233
IE366,A,EF_AB1.246
IE368,A,EF_AB1.233
IE383,A,LF_AB3.332
IE385,A,EF_AB1.246
IE400,A,
IE401,A,EF_AB1.231
IE401,C,EF_AB1.231
IE401,D,EF_AB1.231
IE401,E,EF_AB1.231
IE401,F,EF_AB1.231
IE401,G,EF_AB1.231
IE401,H,EF_AB1.231
IE402,A,EF_AB1.233
IE411,A,EF_AB1.409
IE440,A,EF_AB1.246
IEC391,A,EF_AB1.231
IEC399,A,EF_AB1.408
MATH101,A,SCOLA.322
MATH101,B,SCOLA.322
MATH101,C,SCOLA.323
MATH101,D,SCOLA.323
MATH101,E,SCOLA.126
MATH101,F,SCOLA.126
MATH101,G,SCOLA.229
MATH101,H,SCOLA.229
MATH101,I,SCOLA.127
MATH101,J,SCOLA.127
MATH101R,A,SCOLA.322
MATH101R,B,SCOLA.322
MATH101R,C,SCOLA.323
MATH101R,D,SCOLA.323
MATH101R,E,SCOLA.126
MATH101R,F,SCOLA.126
MATH101R,G,SCOLA.229
MATH101R,H,SCOLA.229
MATH101R,I,SCOLA.127
MATH101R,J,SCOLA.127
MATH102,A,EF_AB1.407
MATH102,B,EF_AB1.407
MATH102R,A,EF_AB1.407
MATH102R,B,EF_AB1.407
MATH103,A,EF_AB1.237
MATH103,C,EF_AB1.238
MATH103,D,EF_AB1.238
MATH103,E,EF_AB1.225
MATH103,F,EF_AB1.225
MATH103R,A,EF_AB1.225
MATH103R,B,EF_AB1.225
MATH103R,C,EF_AB1.237
MATH103R,D,EF_AB1.237
MATH103R,E,EF_AB1.238
MATH103R,F,EF_AB1.238
MATH104,A,EF_AB1.408
MATH104,B,EF_AB1.409
MATH104R,A,EF_AB1.408
MATH107,A,EF_AB1.241
MATH112,A,EF_AB1.237
MATH201,A,EF_AB1.408
MATH201,B,EF_AB1.238
MATH201,C,EF_AB1.246
MATH201R,A,EF_AB1.237
MATH201R,C,EF_AB1.237
MATH202,A,EF_AB1.232
